Index,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Country,Date
88,mahajanga,-15.72,46.32,71.6,88,20,5.82,MG,1601427476
89,kraskino,42.71,130.78,59.67,56,100,4.07,RU,1601427557
90,lagoa,39.05,-27.98,66.51,68,2,7.72,PT,1601427558
91,escarcega,18.61,-90.75,77.23,85,0,5.93,MX,1601427558
92,montrose,38.42,-108.27,71.6,15,1,4.7,US,1601427558
93,kasama,-10.21,31.18,59.88,77,92,5.12,ZM,1601427559
94,sambava,-14.27,50.17,72.88,84,14,8.3,MG,1601427559
95,emerald,-23.53,148.17,72,49,3,8.99,AU,1601427559
96,sao jose da coroa grande,-8.9,-35.15,74.95,79,26,9.31,BR,1601427559
97,qaanaaq,77.48,-69.36,14.27,78,0,6.11,GL,1601427560
98,charyshskoye,51.4,83.56,35.06,88,100,3.31,RU,1601427560
99,georgetown,5.41,100.34,82.4,94,20,3.36,MY,1601427561
100,raudeberg,61.99,5.14,50,96,100,1.36,NO,1601427561
101,bintulu,3.17,113.03,80.6,88,20,2.24,MY,1601427561
102,faanui,-16.48,-151.75,78.49,79,39,23.31,PF,1601427562
103,yanaul,56.27,54.93,48.87,88,13,1.81,RU,1601427562
104,dingli,35.86,14.38,69.01,88,20,5.82,MT,1601427562
105,leningradskiy,69.38,178.42,38.17,76,95,6.24,RU,1601427407
106,hasaki,35.73,140.83,72,68,20,12.75,JP,1601427563
107,lata,40.16,-8.33,64,87,100,1.01,PT,1601427563
108,george town,5.41,100.34,82.4,94,20,3.36,MY,1601427563
109,buala,-8.14,159.59,85.71,62,10,5.46,SB,1601427564
110,port alfred,-33.59,26.89,55.53,71,57,5.55,ZA,1601427564
111,novoagansk,61.94,76.66,39.72,95,100,11.21,RU,1601427565
112,saint george,37.1,-113.58,89.6,7,1,2.44,US,1601427358
113,port lincoln,-34.73,135.87,62.47,69,100,21.34,AU,1601427565
114,vidim,56.41,103.11,32.72,94,100,9.69,RU,1601427566
115,marechal candido rondon,-24.56,-54.06,79.63,57,1,7.94,BR,1601427566
116,codrington,-38.27,141.97,57.9,88,100,15.68,AU,1601427420
117,tshikapa,-6.42,20.8,72.61,91,100,1.19,CD,1601427566
118,smithers,54.78,-127.17,55.4,76,90,3.36,CA,1601427567
119,kodiak,57.79,-152.41,48.2,87,90,28.86,US,1601427292
120,zhigansk,66.77,123.37,32.34,92,100,17.63,RU,1601427567
121,san antonio,29.42,-98.49,78.8,15,1,3.36,US,1601427462
122,hualmay,-11.1,-77.61,61.52,84,100,8.75,PE,1601427328
123,samarai,-10.62,150.67,79.29,84,19,16.98,PG,1601427568
124,joaima,-16.65,-41.03,74.55,66,0,2.24,BR,1601427569
125,aplahoue,6.93,1.68,72.36,95,32,5.5,BJ,1601427569
126,rahden,52.43,8.62,57.2,93,90,2.24,DE,1601427569
127,norman wells,65.28,-126.83,44.6,65,75,9.17,CA,1601427449
128,thaba-tseka,-29.52,28.61,29.64,89,0,2.68,LS,1601427570
129,jabinyanah,35.03,10.91,75.2,78,0,4.7,TN,1601427570
130,kavieng,-2.57,150.8,84.33,69,100,5.88,PG,1601427570
131,los llanos de aridane,28.66,-17.92,71.6,78,75,8.05,ES,1601427389
132,bengkulu,-3.8,102.27,79.5,77,86,7.83,ID,1601427571
133,narsaq,60.92,-46.05,30.2,58,0,2.24,GL,1601427391
134,bambous virieux,-20.34,57.76,71.6,88,75,6.93,MU,1601427571
135,bafq,31.61,55.41,58.77,32,84,4.88,IR,1601427572
136,pangnirtung,66.15,-65.71,27.16,87,0,5.1,CA,1601427572
137,muzhi,65.37,64.67,48.51,82,84,10.89,RU,1601427573
138,rabo de peixe,37.8,-25.58,66.2,63,20,9.17,PT,1601427573
139,kasongo,-4.45,26.67,67.41,99,100,2.21,CD,1601427573
140,cape town,-33.93,18.42,55,76,54,10.29,ZA,1601427384
141,kruisfontein,-34,24.73,46.11,85,0,5.75,ZA,1601427574
142,chokurdakh,70.63,147.92,43.07,76,100,7.25,RU,1601427574
143,thompson,55.74,-97.86,50,76,75,4.7,CA,1601427575
144,mawlaik,23.63,94.42,80.33,82,86,0.36,MM,1601427575
145,souillac,-20.52,57.52,71.6,88,75,6.93,MU,1601427390
146,iqaluit,63.75,-68.51,28.4,74,40,10.29,CA,1601427576
